,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
115,578.925925925926,0.39831481481481484,-8.0,0.0575,511.27877777777786,15.490190672153608
116,573.4814814814815,0.39431481481481484,-0.7777777777777778,0.058,506.30507407407396,15.740449931412877
117,573.2592592592592,0.3939259259259259,-13.185185185185185,0.0585,506.1661481481482,15.717248285322391
118,567.6296296296297,0.3873333333333333,-11.74074074074074,0.059,497.56125925925926,16.566814814814833
119,565.9629629629629,0.381462962962963,-21.555555555555557,0.0595,494.94962962962967,16.7419602194787
120,556.4444444444445,0.3706851851851852,-6.777777777777778,0.06,484.01229629629626,13.388190672153666
121,554.8518518518518,0.3672962962962963,-0.8148148148148148,0.0605,482.14722222222224,14.24630589849106
122,554.6666666666666,0.36688888888888893,-0.8148148148148148,0.061,482.03833333333336,14.23330864197528
123,546.8148148148148,0.36648148148148146,-14.296296296296296,0.0615,474.614,14.220462277091924
124,546.6296296296297,0.35933333333333334,-18.74074074074074,0.062,470.633111111111,10.01577777777781
125,542.2592592592592,0.349962962962963,-6.296296296296297,0.0625,466.0789259259259,9.764849108367576
126,533.8518518518518,0.34681481481481485,-6.925925925925926,0.063,459.6448888888889,10.554931412894337
127,526.5555555555555,0.34335185185185185,-0.7407407407407407,0.0635,451.6005185185185,11.310178326474619
128,521.4074074074074,0.34298148148148144,-23.555555555555557,0.064,447.44581481481475,11.285017832647485
129,515.7777777777778,0.3312037037037037,-7.62962962962963,0.0645,439.50225925925923,9.464379972565162
130,515.4814814814815,0.3273888888888889,-0.7407407407407407,0.065,437.7130000000001,10.380716049382697
131,510.85185185185185,0.32701851851851854,-14.074074074074074,0.0655,431.4111111111111,10.353462277091895
132,496.85185185185185,0.3199814814814815,-17.85185185185185,0.066,416.09759259259255,9.741277091906726
133,498.22222222222223,0.31105555555555553,-1.7037037037037037,0.0665,416.7779999999999,6.327753086419776
134,491.44444444444446,0.3102037037037037,-2.7037037037037037,0.067,410.34651851851845,6.360417009602185
135,479.14814814814815,0.3088518518518518,-15.555555555555555,0.0675,402.18396296296294,6.130919067215379
136,478.6666666666667,0.30107407407407405,-0.8888888888888888,0.068,401.1738888888888,4.323692729766801
137,478.55555555555554,0.30062962962962964,-0.8518518518518519,0.0685,401.12696296296286,4.314170096021961
138,478.44444444444446,0.3002037037037037,-12.37037037037037,0.069,401.06192592592595,4.303194787379965
139,472.1111111111111,0.2940185185185185,-0.8148148148148148,0.0695,396.1056296296297,4.403314128943719
140,472.0,0.2936111111111111,-10.25925925925926,0.07,396.0315925925927,4.389123456790141
141,459.85185185185185,0.28848148148148145,-7.444444444444445,0.0705,384.552074074074,4.692203017832682
142,454.74074074074076,0.2847592592592592,-22.555555555555557,0.071,379.5582962962963,3.5380137174211557
143,444.5925925925926,0.2734814814814815,-11.925925925925926,0.0715,371.68025925925934,3.401165980795631
144,439.0,0.26751851851851854,-0.7777777777777778,0.072,366.57481481481483,2.88535116598077
145,438.77777777777777,0.2671296296296296,-3.4444444444444446,0.0725,366.4844814814815,2.8779849108367634
146,438.0,0.26540740740740737,-5.851851851851852,0.073,363.7042962962964,2.965593964334723
147,436.55555555555554,0.2624814814814815,-0.7407407407407407,0.0735,362.5635555555555,3.339684499314142
148,432.48148148148147,0.2621111111111111,-1.3703703703703705,0.074,358.8058888888889,3.3260123456790462
149,431.74074074074076,0.26142592592592595,-6.037037037037037,0.0745,356.36237037037034,3.368100137174217
150,428.44444444444446,0.25840740740740736,-14.592592592592593,0.075,352.51892592592594,3.779334705075482
151,426.74074074074076,0.2511111111111111,-10.814814814814815,0.0755,348.2314074074074,3.040938271604944
152,422.25925925925924,0.2457037037037037,-0.5925925925925926,0.076,342.46237037037037,3.422491083676272
153,416.77777777777777,0.2454074074074074,-0.7037037037037037,0.0765,339.3211111111111,3.409705075445803
154,416.5925925925926,0.24505555555555555,-10.962962962962964,0.077,339.21970370370366,3.399271604938287
155,415.6296296296296,0.23957407407407408,-7.296296296296297,0.0775,335.3910000000001,2.3177297668038372
156,406.962962962963,0.23592592592592593,-3.111111111111111,0.078,327.6828518518518,1.9984705075445963
157,403.48148148148147,0.23437037037037037,-0.6666666666666666,0.0785,325.26551851851843,1.9854663923182234
158,403.22222222222223,0.23403703703703704,-1.1481481481481481,0.079,323.5323703703703,1.983034293552817
159,399.037037037037,0.23346296296296296,-5.62962962962963,0.0795,316.2378518518518,1.9944417009602184
160,388.55555555555554,0.23064814814814816,-6.444444444444445,0.08,309.72714814814816,2.0433635116598015
161,387.22222222222223,0.22742592592592592,-0.9259259259259259,0.0805,303.2447407407407,2.077322359396436
