,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
150,0.0,0.925,-1.0,0.075,1.0,0.0
151,0.0,0.9245,-1.0,0.0755,1.0,0.0
152,0.0,0.924,-1.0,0.076,1.0,0.0
153,0.0,0.9235,-1.0,0.0765,1.0,0.0
154,0.0,0.923,-1.0,0.077,1.0,0.0
155,0.0,0.9225,-1.0,0.0775,1.0,0.0
156,0.0,0.922,-1.0,0.078,1.0,0.0
157,0.0,0.9215,-1.0,0.0785,1.0,0.0
158,0.0,0.921,-1.0,0.079,1.0,0.0
159,0.0,0.9205,-1.0,0.0795,1.0,0.0
160,0.0,0.92,-1.0,0.08,1.0,0.0
161,0.0,0.9195,-1.0,0.0805,1.0,0.0
162,0.0,0.919,-1.0,0.081,1.0,0.0
163,0.0,0.9185,-1.0,0.0815,1.0,0.0
164,0.0,0.918,-1.0,0.082,1.0,0.0
165,0.0,0.9175,-1.0,0.0825,1.0,0.0
166,0.0,0.917,-1.0,0.083,1.0,0.0
167,0.0,0.9165,-1.0,0.0835,1.0,0.0
168,0.0,0.916,-1.0,0.084,1.0,0.0
169,0.0,0.9155,-1.0,0.0845,1.0,0.0
170,0.0,0.915,-1.0,0.085,1.0,0.0
171,0.0,0.9145,-1.0,0.0855,1.0,0.0
172,0.0,0.914,-1.0,0.086,1.0,0.0
173,0.0,0.9135,-1.0,0.0865,1.0,0.0
174,0.0,0.913,-1.0,0.087,1.0,0.0
175,0.0,0.9125,-1.0,0.0875,1.0,0.0
176,0.0,0.912,-1.0,0.088,1.0,0.0
177,0.0,0.9115,-1.0,0.0885,1.0,0.0
178,0.0,0.911,-1.0,0.089,1.0,0.0
179,0.0,0.9105,-1.0,0.0895,1.0,0.0
180,0.0,0.91,-1.0,0.09,1.0,0.0
181,0.0,0.9095,-1.0,0.0905,1.0,0.0
182,0.0,0.909,-1.0,0.091,1.0,0.0
183,0.0,0.9085,-1.0,0.0915,1.0,0.0
184,0.0,0.908,-1.0,0.092,1.0,0.0
185,0.0,0.9075,-1.0,0.0925,1.0,0.0
186,0.0,0.907,-1.0,0.093,1.0,0.0
187,0.0,0.9065,-1.0,0.0935,1.0,0.0
188,0.0,0.906,-1.0,0.094,1.0,0.0
189,0.0,0.9055,-1.0,0.0945,1.0,0.0
190,0.0,0.905,-1.0,0.095,1.0,0.0
191,0.0,0.9045,-1.0,0.0955,1.0,0.0
192,0.0,0.904,-1.0,0.096,1.0,0.0
193,0.0,0.9035,-1.0,0.0965,1.0,0.0
194,0.0,0.903,-1.0,0.097,1.0,0.0
195,0.0,0.9025,-1.0,0.0975,1.0,0.0
196,0.0,0.902,-1.0,0.098,1.0,0.0
197,0.0,0.9015,-1.0,0.0985,1.0,0.0
198,0.0,0.901,-1.0,0.099,1.0,0.0
199,0.0,0.9005,-1.0,0.0995,1.0,0.0
200,0.0,0.9,-1.0,0.1,1.0,0.0
201,0.0,0.8995,-1.0,0.1005,1.0,0.0
202,0.0,0.899,-1.0,0.101,1.0,0.0
203,0.0,0.8985,-1.0,0.1015,1.0,0.0
204,0.0,0.898,-1.0,0.102,1.0,0.0
205,0.0,0.8975,-1.0,0.1025,1.0,0.0
206,0.0,0.897,-1.04,0.103,1.0,0.0
207,0.04,0.89648,-1.0,0.1035,1.03,7.920000003650784e-05
208,0.04,0.89598,-1.0,0.104,1.03,7.91999998036772e-05
209,0.04,0.89548,-1.0,0.1045,1.03,7.91999998036772e-05
210,0.04,0.89498,-1.0,0.105,1.03,7.91999998036772e-05
211,0.04,0.89448,-1.0,0.1055,1.03,7.920000003650784e-05
212,0.04,0.89398,-1.0,0.106,1.03,7.920000003650784e-05
213,0.04,0.89348,-1.0,0.1065,1.03,7.920000003650784e-05
214,0.04,0.89298,-1.0,0.107,1.03,7.91999998036772e-05
215,0.04,0.89248,-1.0,0.1075,1.03,7.91999998036772e-05
216,0.04,0.89198,-1.0,0.108,1.03,7.91999998036772e-05
217,0.04,0.89148,-1.0,0.1085,1.03,7.920000003650784e-05
218,0.04,0.89098,-1.0,0.109,1.03,7.920000003650784e-05
219,0.04,0.89048,-1.0,0.1095,1.03,7.920000003650784e-05
220,0.04,0.88998,-1.0,0.11,1.03,7.91999998036772e-05
221,0.04,0.88948,-1.0,0.1105,1.03,7.91999998036772e-05
222,0.04,0.88898,-1.0,0.111,1.03,7.91999998036772e-05
223,0.04,0.88848,-1.0,0.1115,1.03,7.920000003650784e-05
224,0.04,0.88798,-1.0,0.112,1.03,7.920000003650784e-05
225,0.04,0.88748,-1.0,0.1125,1.03,7.920000003650784e-05
226,0.04,0.88698,-1.0,0.113,1.03,7.920000003650784e-05
227,0.04,0.88648,-1.0,0.1135,1.03,7.91999998036772e-05
228,0.04,0.88598,-1.0,0.114,1.03,7.91999998036772e-05
229,0.04,0.88548,-1.0,0.1145,1.03,7.920000003650784e-05
230,0.04,0.88498,-1.0,0.115,1.03,7.920000003650784e-05
231,0.04,0.88448,-1.0,0.1155,1.03,7.920000003650784e-05
232,0.04,0.88398,-1.0,0.116,1.03,7.920000003650784e-05
233,0.04,0.88348,-1.0,0.1165,1.03,7.91999998036772e-05
234,0.04,0.88298,-1.0,0.117,1.03,7.91999998036772e-05
235,0.04,0.88248,-1.0,0.1175,1.03,7.91999998036772e-05
236,0.04,0.88198,-1.0,0.118,1.03,7.920000003650784e-05
237,0.04,0.88148,-1.0,0.1185,1.03,7.920000003650784e-05
238,0.04,0.88098,-1.0,0.119,1.03,7.920000003650784e-05
239,0.04,0.88048,-1.0,0.1195,1.03,7.91999998036772e-05
240,0.04,0.87998,-1.0,0.12,1.03,7.91999998036772e-05
241,0.04,0.87948,-1.0,0.1205,1.03,7.91999998036772e-05
242,0.04,0.87898,-1.0,0.121,1.03,7.920000003650784e-05
243,0.04,0.87848,-1.0,0.1215,1.03,7.920000003650784e-05
244,0.04,0.87798,-1.0,0.122,1.03,7.920000003650784e-05
245,0.04,0.87748,-1.0,0.1225,1.03,7.91999998036772e-05
246,0.04,0.87698,-1.03,0.123,1.03,7.91999998036772e-05
247,0.07,0.876465,-1.0,0.1235,1.05,0.00012254999997094273
248,0.07,0.875965,-1.0,0.124,1.05,0.00012254999997094273
249,0.07,0.875465,-1.0,0.1245,1.05,0.0001225499997381121
250,0.07,0.874965,-1.0,0.125,1.05,0.00012254999997094273
251,0.07,0.874465,-1.06,0.1255,1.05,0.00012254999997094273
252,0.13,0.8739349999999999,-1.0,0.126,1.1,0.0002965500000864267
253,0.13,0.873435,-1.0,0.1265,1.1,0.0002965500003192574
254,0.13,0.8729349999999999,-1.0,0.127,1.1,0.0002965500000864267
255,0.13,0.872435,-1.0,0.1275,1.1,0.0002965500003192574
256,0.13,0.8719349999999999,-1.0,0.128,1.1,0.0002965500000864267
257,0.13,0.871435,-1.0,0.1285,1.1,0.0002965500003192574
258,0.13,0.8709349999999999,-1.0,0.129,1.1,0.0002965500000864267
259,0.13,0.870435,-1.0,0.1295,1.1,0.0002965500003192574
260,0.13,0.8699349999999999,-1.0,0.13,1.1,0.0002965500000864267
261,0.13,0.869435,-1.0,0.1305,1.1,0.0002965500003192574
262,0.13,0.8689349999999999,-1.0,0.131,1.1,0.0002965500000864267
263,0.13,0.868435,-1.0,0.1315,1.1,0.0002965500003192574
264,0.13,0.8679349999999999,-1.0,0.132,1.1,0.0002965500000864267
265,0.13,0.867435,-1.0,0.1325,1.1,0.0002965500000864267
266,0.13,0.8669349999999999,-1.12,0.133,1.1,0.0002965500000864267
267,0.25,0.866375,-1.0,0.1335,1.1,0.0009937499999068677
268,0.25,0.865875,-1.0,0.134,1.1,0.0009937499999068677
269,0.25,0.865375,-1.0,0.1345,1.1,0.0009937499999068677
270,0.25,0.864875,-1.0,0.135,1.1,0.0009937499999068677
271,0.25,0.864375,-1.0,0.1355,1.1,0.0009937499999068677
272,0.25,0.863875,-1.01,0.136,1.1,0.0009937499999068677
273,0.26,0.86337,-1.0,0.1365,1.1,0.000996199999935925
274,0.26,0.86287,-1.0,0.137,1.1,0.000996199999935925
275,0.26,0.86237,-1.0,0.1375,1.1,0.000996199999935925
276,0.26,0.86187,-1.0,0.138,1.1,0.000996199999935925
277,0.26,0.86137,-1.0,0.1385,1.1,0.000996199999935925
278,0.26,0.86087,-1.0,0.139,1.1,0.000996199999935925
279,0.26,0.86037,-1.0,0.1395,1.1,0.000996199999935925
280,0.26,0.85987,-1.0,0.14,1.1,0.0009962000001687557
281,0.26,0.85937,-1.0,0.1405,1.1,0.0009962000001687557
282,0.26,0.85887,-1.0,0.141,1.1,0.0009962000001687557
283,0.26,0.85837,-1.0,0.1415,1.1,0.0009962000001687557
284,0.26,0.85787,-1.01,0.142,1.1,0.0009962000001687557
285,0.27,0.857365,-1.0,0.1425,1.1,0.0009985500001348554
286,0.27,0.856865,-1.02,0.143,1.1,0.000998549999902025
287,0.29,0.856355,-1.09,0.1435,1.1,0.001002949999878183
288,0.38,0.85581,-1.0,0.144,1.18,0.0013778000001329928
289,0.38,0.8553099999999999,-1.0,0.1445,1.18,0.0013778000001329928
290,0.38,0.85481,-1.0,0.145,1.18,0.0013778000001329928
291,0.38,0.8543099999999999,-1.05,0.1455,1.18,0.0013778000001329928
292,0.43,0.853785,-1.0,0.146,1.22,0.0014825500000733881
293,0.43,0.853285,-1.0,0.1465,1.22,0.0014825500000733881
294,0.43,0.852785,-1.0,0.147,1.22,0.0014825500003062188
295,0.43,0.852285,-1.0,0.1475,1.22,0.0014825500000733881
296,0.43,0.851785,-1.0,0.148,1.22,0.0014825500000733881
297,0.43,0.851285,-1.0,0.1485,1.22,0.0014825500000733881
298,0.43,0.850785,-1.0,0.149,1.22,0.0014825500003062188
299,0.43,0.850285,-1.0,0.1495,1.22,0.0014825500000733881
300,0.43,0.849785,-1.0,0.15,1.22,0.0014825500000733881
301,0.43,0.849285,-1.0,0.1505,1.22,0.0014825500000733881
302,0.43,0.848785,-1.0,0.151,1.22,0.0014825500000733881
303,0.43,0.848285,-1.0,0.1515,1.22,0.0014825500000733881
304,0.43,0.847785,-1.02,0.152,1.22,0.0014825500000733881
305,0.43,0.847275,-1.0,0.1525,1.3157139999999998,0.0017337500001303851
306,0.43,0.8467749999999999,-1.0,0.153,1.3157139999999998,0.0017337499998975544
307,0.43,0.846275,-1.0,0.1535,1.3157139999999998,0.0017337500001303851
308,0.43,0.8457749999999999,-1.0,0.154,1.3157139999999998,0.0017337500001303851
309,0.43,0.845275,-1.0,0.1545,1.3157139999999998,0.0017337500001303851
310,0.43,0.8447749999999999,-1.0,0.155,1.3157139999999998,0.0017337500001303851
311,0.43,0.844275,-1.0,0.1555,1.3157139999999998,0.0017337499998975544
312,0.43,0.8437749999999999,-1.0,0.156,1.3157139999999998,0.0017337500001303851
313,0.43,0.843275,-1.04,0.1565,1.3157139999999998,0.0017337500001303851
314,0.47,0.842755,-1.0,0.157,1.3457139999999999,0.001794950000010431
315,0.47,0.842255,-1.0,0.1575,1.3457139999999999,0.001794950000010431
316,0.47,0.841755,-1.0,0.158,1.3457139999999999,0.001794950000010431
317,0.47,0.841255,-1.0,0.1585,1.3457139999999999,0.0017949500002432614
318,0.47,0.840755,-1.0,0.159,1.3457139999999999,0.001794950000010431
319,0.47,0.840255,-1.0,0.1595,1.3457139999999999,0.001794950000010431
320,0.47,0.839755,-1.0,0.16,1.3457139999999999,0.001794950000010431
321,0.47,0.839255,-1.04,0.1605,1.3457139999999999,0.001794950000010431
322,0.51,0.838735,-1.0,0.161,1.3457139999999999,0.0018245500000193715
323,0.51,0.8382350000000001,-1.0,0.1615,1.3457139999999999,0.0018245500000193715
324,0.51,0.837735,-1.0,0.162,1.3457139999999999,0.0018245500000193715
325,0.51,0.8372350000000001,-1.0,0.1625,1.3457139999999999,0.0018245500000193715
326,0.51,0.836735,-1.0,0.163,1.3457139999999999,0.0018245500000193715
327,0.51,0.8362350000000001,-1.0,0.1635,1.3457139999999999,0.0018245499997865408
328,0.51,0.835735,-1.0,0.164,1.3457139999999999,0.0018245499997865408
329,0.51,0.8352350000000001,-1.0,0.1645,1.3457139999999999,0.0018245500000193715
330,0.51,0.834735,-1.0,0.165,1.3457139999999999,0.0018245500000193715
331,0.51,0.8342350000000001,-1.0,0.1655,1.3457139999999999,0.0018245500000193715
332,0.51,0.833735,-1.0,0.166,1.3457139999999999,0.0018245500000193715
333,0.51,0.8332350000000001,-1.0,0.1665,1.3457139999999999,0.0018245500000193715
334,0.51,0.832735,-1.0,0.167,1.3457139999999999,0.0018245500000193715
335,0.51,0.8322350000000001,-1.0,0.1675,1.3457139999999999,0.0018245499997865408
336,0.51,0.831735,-1.0,0.168,1.3457139999999999,0.0018245499997865408
337,0.51,0.8312350000000001,-1.1,0.1685,1.3457139999999999,0.0018245500000193715
338,0.61,0.8306849999999999,-1.0,0.169,1.435714,0.0022665500002913177
339,0.61,0.830185,-1.0,0.1695,1.435714,0.002266550000058487
340,0.61,0.8296849999999999,-1.0,0.17,1.435714,0.0022665500002913177
341,0.61,0.829185,-1.0,0.1705,1.435714,0.002266550000058487
342,0.61,0.8286849999999999,-1.0,0.171,1.435714,0.0022665500002913177
343,0.61,0.828185,-1.0,0.1715,1.435714,0.002266550000058487
344,0.61,0.8276849999999999,-1.0,0.172,1.435714,0.0022665500002913177
345,0.61,0.827185,-1.1,0.1725,1.435714,0.002266550000058487
346,0.71,0.826635,-1.0,0.173,1.5057139999999998,0.002538549999939278
347,0.71,0.826135,-1.0,0.1735,1.5057139999999998,0.002538549999939278
348,0.71,0.825635,-1.0,0.174,1.5057139999999998,0.002538549999939278
349,0.71,0.825135,-1.0,0.1745,1.5057139999999998,0.002538549999939278
350,0.71,0.824635,-1.0,0.175,1.5057139999999998,0.002538549999939278
351,0.71,0.824135,-1.0,0.1755,1.5057139999999998,0.002538549999939278
352,0.71,0.823635,-1.0,0.176,1.5057139999999998,0.002538549999939278
353,0.71,0.823135,-1.0,0.1765,1.5057139999999998,0.0025385500001721085
354,0.71,0.822635,-1.01,0.177,1.5057139999999998,0.0025385500001721085
355,0.72,0.82213,-1.0,0.1775,1.5057139999999998,0.002536199999973178
356,0.72,0.82163,-1.0,0.178,1.5057139999999998,0.002536199999973178
357,0.72,0.82113,-1.11,0.1785,1.5057139999999998,0.002536199999973178
358,0.81,0.820575,-1.0,0.179,1.5822140000000002,0.002883749999804422
359,0.81,0.820075,-1.0,0.1795,1.5822140000000002,0.002883749999804422
360,0.81,0.819575,-1.05,0.18,1.5822140000000002,0.0028837500000372528
