,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
171,0.0,0.9893125,-1.0,0.0106875,1.0,0.0
172,0.0,0.98925,-1.0,0.01075,1.0,0.0
173,0.0,0.9891875,-1.0,0.0108125,1.0,0.0
174,0.0,0.989125,-1.0,0.010875,1.0,0.0
175,0.0,0.9890625,-1.0,0.0109375,1.0,0.0
176,0.0,0.989,-1.0,0.011,1.0,0.0
177,0.0,0.9889375,-1.0,0.0110625,1.0,0.0
178,0.0,0.988875,-1.0,0.011125,1.0,0.0
179,0.0,0.9888125,-1.0,0.0111875,1.0,0.0
180,0.0,0.98875,-1.0,0.01125,1.0,0.0
181,0.0,0.9886875,-1.0,0.0113125,1.0,0.0
182,0.0,0.988625,-1.0,0.011375,1.0,0.0
183,0.0,0.9885625,-1.0,0.0114375,1.0,0.0
184,0.0,0.9885,-1.0,0.0115,1.0,0.0
185,0.0,0.9884375,-1.0,0.0115625,1.0,0.0
186,0.0,0.988375,-1.0,0.011625,1.0,0.0
187,0.0,0.9883125,-1.0,0.0116875,1.0,0.0
188,0.0,0.98825,-1.0,0.01175,1.0,0.0
189,0.0,0.9881875,-1.0,0.0118125,1.0,0.0
190,0.0,0.988125,-1.0,0.011875,1.0,0.0
191,0.0,0.9880625,-1.0,0.0119375,1.0,0.0
192,0.0,0.988,-1.0,0.012,1.0,0.0
193,0.0,0.9879375,-1.0,0.0120625,1.0,0.0
194,0.0,0.987875,-1.0,0.012125,1.0,0.0
195,0.0,0.9878125,-1.0,0.0121875,1.0,0.0
196,0.0,0.98775,-1.0,0.01225,1.0,0.0
197,0.0,0.9876875,-1.0,0.0123125,1.0,0.0
198,0.0,0.987625,-1.0,0.012375,1.0,0.0
199,0.0,0.9875625,-1.0,0.0124375,1.0,0.0
200,0.0,0.9875,-1.0,0.0125,1.0,0.0
201,0.0,0.9874375,-1.0,0.0125625,1.0,0.0
202,0.0,0.987375,-1.0,0.012625,1.0,0.0
203,0.0,0.9873125,-1.0,0.0126875,1.0,0.0
204,0.0,0.98725,-1.0,0.01275,1.0,0.0
205,0.0,0.9871875,-1.0,0.0128125,1.0,0.0
206,0.0,0.987125,-1.0,0.012875,1.0,0.0
