,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
193,2.73,0.0144,-0.08,0.772,1.4796622999999998,0.0035999999999999943
194,2.68,0.01408,-0.06,0.776,1.4554717000000006,0.0034784000000000004
195,2.65,0.01384,-0.06,0.78,1.436559,0.003633600000000001
196,2.6,0.0136,-0.08,0.784,1.4158467000000003,0.003760000000000005
197,2.57,0.01328,-0.07,0.788,1.4016381000000007,0.0036704000000000007
198,2.5,0.013,-0.09,0.792,1.3808038000000011,0.003549999999999997
199,2.43,0.01264,-0.05,0.796,1.3550849999999997,0.0036575999999999952
200,2.37,0.01244,-0.07,0.8,1.3374936000000006,0.0037516000000000034
201,2.3,0.01216,-0.08,0.804,1.3152163000000001,0.003993600000000001
202,2.25,0.01184,-0.07,0.808,1.2942269,0.003593600000000002
203,2.23,0.01156,-0.1,0.812,1.279573,0.0035116000000000014
204,2.18,0.01116,-0.06,0.816,1.2635611,0.002663599999999995
205,2.15,0.01092,-0.09,0.82,1.2518848999999994,0.0027084000000000045
206,2.13,0.01056,-0.08,0.824,1.2357387999999998,0.0024415999999999978
207,2.12,0.01024,-0.05,0.828,1.2208856,0.002105599999999999
208,2.07,0.010039999999999999,-0.02,0.832,1.2050939999999999,0.0018796000000000034
209,2.05,0.00996,-0.03,0.836,1.1921494999999995,0.0018795999999999965
210,2.04,0.00984,-0.06,0.84,1.1816731000000003,0.0016336000000000013
211,2.0,0.0096,-0.08,0.844,1.1704712999999998,0.0015199999999999997
212,1.98,0.00928,-0.03,0.848,1.1607531999999994,0.0014304000000000022
213,1.97,0.00916,-0.03,0.852,1.1496870999999997,0.0013835999999999976
214,1.94,0.00904,-0.01,0.856,1.1450309999999995,0.0013296000000000063
215,1.93,0.009,-0.06,0.86,1.1360076000000001,0.0013099999999999987
216,1.89,0.00876,0.0,0.864,1.1269313,0.001095600000000001
217,1.86,0.00876,-0.01,0.868,1.1180380000000008,0.001095600000000001
218,1.81,0.00872,-0.01,0.872,1.1071909000000006,0.0010703999999999959
219,1.74,0.00868,-0.06,0.876,1.0991060999999995,0.0009644000000000012
220,1.66,0.00844,-0.01,0.88,1.0923653000000002,0.0008716000000000008
221,1.56,0.008400000000000001,-0.06,0.884,1.0778434000000001,0.0009199999999999982
222,1.51,0.00816,-0.04,0.888,1.0738871000000003,0.0010335999999999998
223,1.47,0.008,-0.02,0.892,1.0662723999999992,0.001120000000000001
224,1.45,0.00792,-0.06,0.896,1.0607307,0.0011983999999999994
225,1.41,0.007679999999999999,-0.04,0.9,1.0555815,0.0014144000000000006
226,1.34,0.00752,-0.07,0.904,1.0478879999999997,0.0014624000000000006
227,1.3,0.00724,-0.03,0.908,1.0443913999999999,0.0015755999999999997
