,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
146,3.81,0.016800000000000002,-0.08,0.584,2.2402691999999993,0.0012800000000000012
147,3.7,0.01648,-0.08,0.588,2.189950600000001,0.0012224000000000074
148,3.56,0.01616,-0.17,0.592,2.1337564999999996,0.0013536000000000002
149,3.46,0.01548,-0.1,0.596,2.0819675000000006,0.0014923999999999964
150,3.37,0.01508,-0.07,0.6,2.0280214999999995,0.0014284000000000035
151,3.29,0.0148,-0.09,0.604,1.9738251000000004,0.0013999999999999915
152,3.24,0.01444,-0.09,0.608,1.9205067,0.0012715999999999995
153,3.13,0.01408,-0.11,0.612,1.8652107000000018,0.0012383999999999987
154,3.05,0.013640000000000001,-0.19,0.616,1.8102785999999995,0.0012075999999999923
155,2.96,0.01288,-0.09,0.62,1.7552791000000014,0.0008463999999999956
156,2.83,0.01252,-0.18,0.624,1.7020927999999995,0.0009324000000000012
157,2.67,0.011800000000000001,-0.21,0.628,1.6526688999999997,0.0011499999999999987
158,2.58,0.010960000000000001,-0.11,0.632,1.608948200000001,0.0013295999999999957
159,2.45,0.01052,-0.13,0.636,1.5724783000000013,0.0013324000000000033
160,2.31,0.01,-0.14,0.64,1.5394657999999992,0.0013200000000000002
161,2.23,0.009439999999999999,-0.08,0.644,1.514776600000001,0.0011616000000000035
162,2.15,0.00912,-0.08,0.648,1.4947283999999998,0.0009664000000000036
163,2.07,0.0088,-0.08,0.652,1.4778581999999998,0.0007999999999999971
164,2.03,0.00848,-0.04,0.656,1.4670802000000007,0.000502399999999998
165,2.0,0.008320000000000001,-0.04,0.66,1.4589953000000002,0.0003743999999999978
166,2.0,0.00816,0.0,0.664,1.4531517000000007,0.00023359999999999915
167,2.0,0.00816,-0.01,0.668,1.4468993999999993,0.00023359999999999915
168,2.0,0.008119999999999999,0.0,0.672,1.4416722999999994,0.00019640000000000412
169,2.0,0.008119999999999999,0.0,0.676,1.4353670000000005,0.00019640000000000412
170,2.0,0.008119999999999999,0.0,0.68,1.4306949999999998,0.00019640000000000412
171,2.0,0.008119999999999999,0.0,0.684,1.4269389000000003,0.00019640000000000412
172,2.0,0.008119999999999999,0.0,0.688,1.4212402000000008,0.00019640000000000412
173,2.0,0.008119999999999999,0.0,0.692,1.4161887999999998,0.00019640000000000412
174,2.0,0.008119999999999999,0.0,0.696,1.4107312000000005,0.00019640000000000412
175,2.0,0.008119999999999999,0.0,0.7,1.4040238000000003,0.00019640000000000412
176,2.0,0.008119999999999999,0.0,0.704,1.3990785000000006,0.00019640000000000412
177,2.0,0.008119999999999999,0.0,0.708,1.3951132999999993,0.00019640000000000412
178,2.0,0.008119999999999999,0.0,0.712,1.3890369000000005,0.00019640000000000412
179,2.0,0.008119999999999999,0.0,0.716,1.3845249000000002,0.00019640000000000412
180,2.0,0.008119999999999999,0.0,0.72,1.3804756000000011,0.00019640000000000412
181,2.0,0.008119999999999999,0.0,0.724,1.3760086999999996,0.00019640000000000412
182,2.0,0.008119999999999999,0.0,0.728,1.3692844,0.00019640000000000412
183,2.0,0.008119999999999999,0.0,0.732,1.3623520999999996,0.00019640000000000412
184,2.0,0.008119999999999999,0.0,0.736,1.3548829,0.00019640000000000412
185,2.0,0.008119999999999999,0.0,0.74,1.3487671999999997,0.00019640000000000412
186,2.0,0.008119999999999999,0.0,0.744,1.3443958000000003,0.00019640000000000412
187,2.0,0.008119999999999999,0.0,0.748,1.3372431999999999,0.00019640000000000412
188,2.0,0.008119999999999999,0.0,0.752,1.3285331999999996,0.00019640000000000412
189,2.0,0.008119999999999999,0.0,0.756,1.3218948000000008,0.00019640000000000412
190,2.0,0.008119999999999999,0.0,0.76,1.3150161000000002,0.00019640000000000412
191,2.0,0.008119999999999999,0.0,0.764,1.3100079000000004,0.00019640000000000412
192,2.0,0.008119999999999999,0.0,0.768,1.3051768000000001,0.00019640000000000412
193,2.0,0.008119999999999999,0.0,0.772,1.2983661999999994,0.00019640000000000412
194,2.0,0.008119999999999999,0.0,0.776,1.2912956999999998,0.00019640000000000412
195,2.0,0.008119999999999999,-0.01,0.78,1.2820563000000007,0.00019640000000000412
196,2.0,0.00808,0.0,0.784,1.2743384999999996,0.00015840000000000033
197,2.0,0.00808,0.0,0.788,1.2671706000000011,0.00015840000000000033
198,2.0,0.00808,-0.02,0.792,1.2621166999999998,0.00015840000000000033
199,2.0,0.008,0.0,0.796,1.2563259000000002,0.0
200,2.0,0.008,0.0,0.8,1.2466663000000002,0.0
201,2.0,0.008,0.0,0.804,1.2429796000000004,0.0
202,2.0,0.008,0.0,0.808,1.2369562,0.0
203,2.0,0.008,0.0,0.812,1.2319997000000003,0.0
204,2.0,0.008,0.0,0.816,1.2236357999999994,0.0
205,2.0,0.008,0.0,0.82,1.2190695999999994,0.0
206,1.99,0.008,0.0,0.824,1.2109536999999995,0.0
207,1.99,0.008,0.0,0.828,1.2048759999999996,0.0
208,1.99,0.008,0.0,0.832,1.2,0.0
209,1.98,0.008,0.0,0.836,1.1974361,0.0
210,1.97,0.008,0.0,0.84,1.1847365000000005,0.0
211,1.96,0.008,-0.01,0.844,1.1756757,0.0
212,1.95,0.00796,-0.01,0.848,1.1650007999999996,3.960000000000008e-05
213,1.94,0.00792,-0.01,0.852,1.1577143000000008,7.840000000000025e-05
214,1.9,0.00788,0.0,0.856,1.1511754999999995,0.0001164000000000005
215,1.88,0.00788,0.0,0.86,1.1466669000000003,0.0001164000000000005
216,1.86,0.00788,0.0,0.864,1.138125,0.0001164000000000005
217,1.82,0.00788,-0.02,0.868,1.1296777000000007,0.0001164000000000005
218,1.77,0.0078,-0.03,0.872,1.123333400000001,0.00019000000000000128
219,1.73,0.007679999999999999,-0.02,0.876,1.1186216999999992,0.00029439999999999957
220,1.69,0.0076,0.0,0.88,1.1092874000000004,0.0003600000000000012
221,1.68,0.0076,-0.01,0.884,1.1007402000000013,0.0003600000000000012
222,1.63,0.00756,0.0,0.888,1.0907694000000008,0.0003916000000000004
223,1.61,0.00756,-0.04,0.892,1.086399999999999,0.0003916000000000004
224,1.58,0.0074,-0.03,0.896,1.0824995,0.000509999999999998
225,1.53,0.00728,-0.01,0.9,1.0730440000000008,0.000590399999999999
226,1.47,0.00724,-0.02,0.904,1.0636369999999997,0.0006156000000000005
227,1.42,0.0071600000000000006,-0.06,0.908,1.0542864999999997,0.0006636000000000006
228,1.35,0.00692,-0.03,0.912,1.0469999999999997,0.0007883999999999993
229,1.29,0.0068,-0.06,0.916,1.0389469000000005,0.0008400000000000017
230,1.26,0.00656,-0.08,0.92,1.0355551999999997,0.0009216000000000015
231,1.2,0.00624,-0.02,0.924,1.0294120999999998,0.0009855999999999999
232,1.18,0.0061600000000000005,-0.05,0.928,1.02625,0.0009936000000000007
233,1.15,0.00596,-0.05,0.932,1.0239997,0.0009996000000000009
234,1.1,0.0057599999999999995,-0.02,0.936,1.017143,0.0009855999999999999
235,1.1,0.005679999999999999,-0.07,0.94,1.0184618,0.0009743999999999993
236,1.06,0.0054,-0.06,0.944,1.0100002,0.0009099999999999984
237,1.03,0.0051600000000000005,-0.09,0.948,1.0054546,0.0008235999999999999
238,1.03,0.0048,-0.04,0.952,1.006,0.0006400000000000006
239,1.01,0.00464,-0.03,0.956,1.0022221999999998,0.0005376000000000003
240,1.0,0.00452,-0.03,0.96,1.0,0.0004524000000000008
241,1.0,0.0044,-0.03,0.964,1.0,0.0003599999999999994
242,1.0,0.00428,-0.01,0.968,1.0,0.0002603999999999997
243,1.0,0.00424,0.0,0.972,1.0,0.00022559999999999914
244,1.0,0.00424,-0.04,0.976,1.0,0.00022559999999999914
245,1.0,0.00408,0.0,0.98,1.0,7.840000000000025e-05
246,1.0,0.00408,-0.01,0.984,1.0,7.840000000000025e-05
247,1.0,0.00404,-0.01,0.988,1.0,3.960000000000008e-05
248,1.0,0.004,0.0,0.992,1.0,0.0
249,0.0,0.004,0.0,0.996,1.0,0.0
